***inner_prod***
Size,Time
10000000,1.2e-06
20000000,1.3e-06
30000000,9e-07
40000000,1.7e-06
50000000,9e-07
60000000,1.3e-06
70000000,1.3e-06
80000000,1.3e-06
90000000,1.7e-06
100000000,1.3e-06
***sum_positive***
Size,Time
10000000,1.3e-06
20000000,1.2e-06
30000000,1.3e-06
40000000,1.3e-06
50000000,1.3e-06
60000000,1.3e-06
70000000,1.3e-06
80000000,8e-07
90000000,9e-07
100000000,9e-07
***sqrt_element***
Size,Time
10000000,0.0200117
20000000,0.0540449
30000000,0.0645616
40000000,0.0875413
50000000,0.106008
60000000,0.11882
70000000,0.176585
80000000,0.176826
90000000,0.246184
100000000,0.241888
***exp_element***
Size,Time
10000000,0.0484631
20000000,0.106174
30000000,0.155573
40000000,0.166011
50000000,0.319036
60000000,0.47821
70000000,0.297848
80000000,0.392953
90000000,0.493679
100000000,0.73838
***log_element***
Size,Time
10000000,0.317946
20000000,0.570885
30000000,0.893013
40000000,1.00746
50000000,1.3405
60000000,1.4686
70000000,1.73203
80000000,1.9953
90000000,2.75553
100000000,2.6426
***gauss***
Size,Time
10000000,0.178792
20000000,0.414881
30000000,0.569849
40000000,0.584946
50000000,0.698502
60000000,0.85122
70000000,1.02954
80000000,1.19808
90000000,1.33139
100000000,1.46563
