***inner_prod***
Size,Time
10000000,1.3e-06
20000000,1.3e-06
30000000,1.3e-06
40000000,1.3e-06
50000000,1.3e-06
60000000,2.2e-06
70000000,1.3e-06
80000000,1.3e-06
90000000,1.2e-06
100000000,1.3e-06
***sum_positive***
Size,Time
10000000,1.7e-06
20000000,1.3e-06
30000000,1.7e-06
40000000,1.3e-06
50000000,1.3e-06
60000000,1.3e-06
70000000,1.3e-06
80000000,1.7e-06
90000000,1.3e-06
100000000,1.8e-06
***sqrt_element***
Size,Time
10000000,0.0207563
20000000,0.0399242
30000000,0.05987
40000000,0.0813245
50000000,0.101927
60000000,0.122981
70000000,0.164262
80000000,0.177175
90000000,0.212249
100000000,0.253038
***exp_element***
Size,Time
10000000,0.028306
20000000,0.046354
30000000,0.0753475
40000000,0.259812
50000000,0.173433
60000000,0.205149
70000000,0.152691
80000000,0.176921
90000000,0.262071
100000000,0.355335
***log_element***
Size,Time
10000000,0.238815
20000000,0.382015
30000000,0.499388
40000000,0.628754
50000000,0.793852
60000000,1.01604
70000000,1.53775
80000000,1.5536
90000000,1.85873
100000000,1.56106
***gauss***
Size,Time
10000000,0.141749
20000000,0.277786
30000000,0.425771
40000000,0.553384
50000000,0.7434
60000000,0.861703
70000000,0.993637
80000000,1.4409
90000000,2.092
100000000,1.86154
