***inner_prod***
Size,Time

10000000,0.0305896


20000000,0.061516


30000000,0.0959464


40000000,0.130013


50000000,0.160239


60000000,0.200683


70000000,0.231028


80000000,0.254537


90000000,0.324292


100000000,0.31007
***sum_positive***
Size,Time

10000000,0.0873663


20000000,0.174995


30000000,0.271214


40000000,0.373486


50000000,0.464093


60000000,0.535945


70000000,0.643643


80000000,0.722785


90000000,0.799208


100000000,0.932924
***sqrt_element***
Size,Time

10000000,0.1279


20000000,0.24204


30000000,0.37541


40000000,0.492519


50000000,0.60763


60000000,0.726766


70000000,0.891401


80000000,0.978966


90000000,1.15859


100000000,1.25663
***exp_element***
Size,Time

10000000,0.19419


20000000,0.373849


30000000,0.581604


40000000,0.792715


50000000,1.14973


60000000,1.14163


70000000,1.33751


80000000,1.54212


90000000,1.6933


100000000,1.88113
***log_element***
Size,Time

10000000,0.335624


20000000,0.654702


30000000,0.758427


40000000,1.06893


50000000,1.41075


60000000,1.51199


70000000,1.89559


80000000,2.23031


90000000,2.28809


100000000,2.95771
***gauss***
Size,Time

10000000,0.22956


20000000,0.452089


30000000,0.880968


40000000,1.09263


50000000,1.63383


60000000,1.34744


70000000,1.59208


80000000,1.82683


90000000,2.02743


100000000,3.31915
