CMDLINE /usr/bin/python parallelRun.py
MEM 0.734375 1540048366.4285
MEM 13.007812 1540048366.5291
MEM 13.007812 1540048366.6298
MEM 13.007812 1540048366.7303
MEM 13.007812 1540048366.8306
MEM 13.007812 1540048366.9312
MEM 13.007812 1540048367.0319
MEM 13.007812 1540048367.1323
MEM 13.007812 1540048367.2327
MEM 13.007812 1540048367.3330
MEM 13.007812 1540048367.4334
MEM 13.007812 1540048367.5341
MEM 13.007812 1540048367.6346
MEM 13.007812 1540048367.7354
MEM 13.007812 1540048367.8359
MEM 13.007812 1540048367.9366
MEM 13.007812 1540048368.0370
MEM 13.007812 1540048368.1376
MEM 13.007812 1540048368.2382
MEM 13.007812 1540048368.3390
MEM 13.007812 1540048368.4395
MEM 13.007812 1540048368.5400
MEM 13.007812 1540048368.6405
MEM 13.007812 1540048368.7411
MEM 13.007812 1540048368.8414
MEM 13.007812 1540048368.9419
MEM 13.007812 1540048369.0424
MEM 13.007812 1540048369.1429
MEM 13.007812 1540048369.2433
MEM 13.007812 1540048369.3436
MEM 13.007812 1540048369.4443
MEM 13.007812 1540048369.5449
MEM 13.007812 1540048369.6456
MEM 13.007812 1540048369.7463
MEM 13.007812 1540048369.8470
MEM 13.007812 1540048369.9477
MEM 13.007812 1540048370.0481
MEM 13.007812 1540048370.1488
MEM 13.007812 1540048370.2493
MEM 13.007812 1540048370.3500
MEM 13.007812 1540048370.4506
MEM 13.007812 1540048370.5513
MEM 13.007812 1540048370.6521
MEM 13.007812 1540048370.7526
MEM 13.007812 1540048370.8532
MEM 13.007812 1540048370.9539
MEM 13.007812 1540048371.0542
MEM 13.007812 1540048371.1546
MEM 13.007812 1540048371.2550
MEM 13.007812 1540048371.3554
MEM 13.007812 1540048371.4559
MEM 13.007812 1540048371.5566
MEM 13.007812 1540048371.6572
MEM 13.007812 1540048371.7575
MEM 13.007812 1540048371.8581
MEM 13.007812 1540048371.9587
MEM 13.007812 1540048372.0597
MEM 13.007812 1540048372.1602
MEM 13.007812 1540048372.2608
MEM 13.007812 1540048372.3611
MEM 13.007812 1540048372.4614
MEM 13.007812 1540048372.5620
MEM 13.007812 1540048372.6626
